,Growth,Discount,Risk_Premium
1970-01-01,0.6738659190036651,-1.4056345074246424,-3.4915970398863867
1970-02-01,0.679417982301585,-1.868372770545758,-3.876493888255068
1970-03-01,0.49379997615945437,-1.9130490454563276,-3.6887401445107484
1970-04-01,0.4376353284171473,-1.7969793661604334,-3.630176336016401
1970-05-01,0.7345054450090459,-1.8788878016484423,-4.261483771812906
1970-06-01,0.6430754685154166,-1.9328970787647586,-4.225300012081505
1970-07-01,0.5662100780915426,-2.128968472592812,-4.246831862503642
1970-08-01,0.25461058687955807,-2.0075459706218046,-3.819171779077742
1970-09-01,-0.20923491870292418,-1.9234283989296146,-3.2126773279906304
1970-10-01,-0.3447684665053561,-1.8390936294506217,-2.9338468626272496
1970-11-01,-0.43276972122511637,-2.1135183793922474,-2.99962667399347
1970-12-01,-0.8450440191413359,-2.2247331095090686,-2.5574305776293613
1971-01-01,-0.9684901827868495,-2.251927989071854,-2.4026746190971755
1971-02-01,-1.0609976946004656,-2.249279692362339,-2.24779807835574
1971-03-01,-1.1752194721229667,-2.479286761064987,-2.2706808711109514
1971-04-01,-1.2706013399128901,-2.3221113345991444,-2.027989891159419
1971-05-01,-1.2013947481398088,-1.9716765478771334,-1.8700782267164868
1971-06-01,-1.2244181027609045,-1.9425304464874193,-1.879132619553594
1971-07-01,-1.355650963171521,-1.8940454149622352,-1.789238757260799
1971-08-01,-1.3149629222930972,-2.060093944059615,-1.9854968827742037
1971-09-01,-1.261273950939783,-2.2924931000412885,-2.1449735932176375
1971-10-01,-1.0243440262678174,-2.4920648427630847,-2.53181600401821
1971-11-01,-0.7118725802323482,-2.700030411787251,-3.050833116822343
1971-12-01,-0.8251080443272399,-2.4559167164262368,-2.6613947799301796
1972-01-01,-0.8414777753063514,-2.3138961116946164,-2.4612867091227097
1972-02-01,-0.7593849211984464,-2.133678263793556,-2.3482601939597667
1972-03-01,-0.7265478884768949,-2.0570733196213,-2.2686496607410587
1972-04-01,-0.5564377447540083,-1.9039548078169994,-2.2692654728886485
1972-05-01,-0.3040151354310249,-1.9169134933455318,-2.4870906463969042
1972-06-01,-0.22330998519657808,-1.918144143168397,-2.5526922975775355
1972-07-01,-0.18128709866667347,-1.9391986117324977,-2.624238085635954
1972-08-01,-0.2885516086901531,-1.811639845380033,-2.3987876861553197
1972-09-01,-0.2844189883732207,-1.6566944310449947,-2.3472259232838657
1972-10-01,-0.4113180016021362,-1.7737463677198086,-2.36292818619055
1972-11-01,-0.7620044744617034,-1.9017141590890942,-2.1268880868306814
1972-12-01,-1.0154743278977385,-1.9090115255577695,-1.9411843265632869
1973-01-01,-1.058218156031054,-1.8853175369385209,-1.922117284551079
1973-02-01,-0.7340858489629065,-1.8260700106249952,-2.2189843165051553
1973-03-01,-0.49078986083262227,-1.788761493873386,-2.426149039325016
1973-04-01,-0.39424294959120854,-1.9060334444330507,-2.6617309100920807
1973-05-01,-0.33480984338672104,-1.9348651211694048,-2.8409583024032092
1973-06-01,-0.3107989389740964,-2.0333448475065263,-3.0302640705687325
1973-07-01,-0.3498002504437479,-1.9312864089135584,-2.9655304859452807
1973-08-01,-0.29149765960163343,-1.8222888320761916,-2.995324685524896
1973-09-01,-0.3806511302539676,-2.0650794585005974,-3.103405668418222
1973-10-01,-0.5526231002333084,-2.221318180018267,-3.019878506827937
1973-11-01,-0.3368695180335719,-2.5742167244463756,-3.6741076199410685
1973-12-01,-0.16190176212654317,-2.9115709991719236,-4.313382859085454
1974-01-01,-0.3062429498162688,-2.7397146892434407,-4.0582043346778365
1974-02-01,-0.1940427953189723,-2.821043810075088,-4.264963701347988
1974-03-01,-0.2567220982766927,-2.4559627300508593,-3.8219996207790836
1974-04-01,0.24015781649818568,-2.383533282901854,-4.3218756471429325
1974-05-01,0.6015230544784305,-2.386450620196518,-4.689826960552826
1974-06-01,0.7769997619476272,-2.392312178604535,-4.844274606504001
1974-07-01,1.5595733553030582,-2.668354475998644,-6.073524912692799
1974-08-01,1.8778880141064933,-2.6931948911147443,-6.516279309184225
1974-09-01,2.604409160315443,-3.1751818609605937,-7.849778143917729
1974-10-01,2.293493656204459,-3.136702393925444,-7.44369423652777
1974-11-01,1.7859210691784557,-3.14874871628363,-6.890125547159215
1974-12-01,1.8813802742322174,-3.5976002392545134,-7.482935824111095
1975-01-01,1.1890853974258746,-3.1577129089558134,-6.26524703526432
1975-02-01,0.5938878199854308,-2.7047492224114333,-5.043168777971724
1975-03-01,0.4514092589940963,-2.1623620657619633,-4.320230242684075
1975-04-01,0.299690266452853,-1.6937103823440798,-3.7658635486142713
1975-05-01,-0.47207170400862836,-1.6548067843179581,-2.9308383084335206
1975-06-01,-1.291896366488472,-1.8318105424132092,-2.3341190891477863
1975-07-01,-1.324604939633368,-1.622523917765866,-2.1091620670240405
1975-08-01,-0.4811367735173807,-1.3797733473479514,-2.7037951101886253
1975-09-01,-0.17942542265536238,-1.2485872779394769,-2.8111772414273535
1975-10-01,-0.2923457857787516,-1.298660995246879,-2.640552267424598
1975-11-01,-0.3301134208407578,-1.307244391917054,-2.5733839069623525
1975-12-01,-0.13637662472140227,-1.3599472711130083,-2.7929337041229143
1976-01-01,-0.14423322557284746,-1.2822014806195143,-2.5574397601070022
1976-02-01,0.0026569207553641533,-1.1462731691195094,-2.5221317188382244
1976-03-01,0.09618862497572546,-1.2364800692641806,-2.704066948584317
1976-04-01,0.1237435323402275,-1.3837628085753437,-2.857434288599839
1976-05-01,0.3144118066938332,-1.1912457045705065,-2.9174331560926037
1976-06-01,0.3775347695915222,-1.2307979620271283,-3.017757038866054
1976-07-01,0.3806939570376599,-1.178798812708106,-2.933340616135382
1976-08-01,0.5170646102476948,-1.2324683603909055,-3.10015366096699
1976-09-01,0.4791737936102325,-1.3130257636614826,-3.0925511357861213
1976-10-01,0.7047874907601112,-1.5387559755650084,-3.522727988546787
1976-11-01,0.8777431886292004,-1.6456094749837984,-3.7658430234330127
1976-12-01,0.8108165478235516,-1.8393017752086642,-3.7779084481912957
1977-01-01,1.01380904695478,-1.5833653639211598,-3.766501135432728
1977-02-01,1.2946882299463571,-1.461320339270214,-3.9418472985854285
1977-03-01,1.4927301647529156,-1.3609758408508177,-4.017316334793847
1977-04-01,1.576141699591499,-1.472343871124257,-4.208057767255788
1977-05-01,1.5132920997040726,-1.4835689737726818,-4.203576407575744
1977-06-01,1.46744439998578,-1.6132937689376143,-4.258652962375604
1977-07-01,1.4280426218485076,-1.5741964564245574,-4.192694385811355
1977-08-01,1.508216311728567,-1.6440772057521453,-4.394686843831859
1977-09-01,1.5184506985527875,-1.7790522583154935,-4.570450381291784
1977-10-01,1.5640082452957098,-1.7831102090547855,-4.702692120812344
1977-11-01,1.4845948700062055,-1.748703414360389,-4.611373299874593
1977-12-01,1.462013776112695,-1.7173403637943125,-4.602211783306537
1978-01-01,1.553894053079436,-1.6700310007445103,-4.750426215413038
1978-02-01,1.5124664976578281,-1.676517191140301,-4.76136661157103
1978-03-01,1.5182749741677213,-1.6384689904346845,-4.717436438090427
1978-04-01,1.4572363386069151,-1.366908553335776,-4.341410031639759
1978-05-01,1.3693766001981902,-1.0250148683002336,-3.878010572675486
1978-06-01,1.4985582173136307,-0.8732916606368335,-3.844045641389446
1978-07-01,1.6499290002471718,-0.7310024669298332,-3.8666524620652196
1978-08-01,1.3255362085102644,-0.7169957127329467,-3.4446076714528537
1978-09-01,1.2832314796011914,-0.7362006273244952,-3.435318635725019
1978-10-01,1.5020110853157116,-0.7177693338345207,-3.718458614617684
1978-11-01,1.8311906539613134,-0.860440313348012,-4.299934309501835
1978-12-01,1.8505259748031069,-0.729291498578391,-4.233760919195198
1979-01-01,1.777247735908971,-0.5959360599080175,-4.027721527198795
