,beta_growth,beta_discount,beta_risk_premium,P_trace
1970-01-01,-0.08361099310881363,-0.12564224126629966,-0.013848009533920222,3.0029999999999997
1970-02-01,-0.0838772324439933,-0.12546672991252558,-0.014166970728632636,2.0069505281912843
1970-03-01,0.006320509963380905,-0.20828573754404572,-0.1378010929204419,1.0817847833629097
1970-04-01,0.050559178250191225,-0.17204404786476557,-0.1559814886696778,0.8905597668067973
1970-05-01,0.18659219930445053,0.06108075747087488,-0.15428463108039087,0.28260869850597536
1970-06-01,-0.015584525458128218,-0.19249593456834013,-0.13890956845267988,0.14831530648141786
1970-07-01,-0.28730282304115723,-0.28430281742421104,-0.014467014922112748,0.0660029347256746
1970-08-01,-0.3027493996151644,-0.284355956243946,-0.005983599297811884,0.05580331982458728
1970-09-01,-0.24660619617378748,-0.22719723402118236,-0.006659518410362117,0.04659915891895377
1970-10-01,-0.19304566239085708,-0.19825045438163758,-0.010426580519458512,0.042454218674897924
1970-11-01,-0.18902045177490587,-0.1953990287843059,-0.013367306844601395,0.043787184566503226
1970-12-01,-0.18056167647865073,-0.19803603649410106,-0.017774529249437412,0.044105276767203015
1971-01-01,-0.15509310805668008,-0.18857494772671693,-0.02688752655273914,0.04539063010904157
1971-02-01,-0.1440869676174217,-0.17777479492406953,-0.028236521208666585,0.04593250825172359
1971-03-01,-0.11044201020528444,-0.11973933111756607,-0.018379110643293492,0.04245064209476252
1971-04-01,-0.05864981751169793,-0.08429857916445475,-0.004417535922767583,0.04146355634253524
1971-05-01,-0.023330133801768863,-0.10480367719041708,-0.0132199942359111,0.04198034482863387
1971-06-01,-0.012139032861799803,-0.11569293282237124,-0.016772465541455835,0.04278662633070417
1971-07-01,-0.0037154970023982013,-0.09693608780949052,-0.010323370839125429,0.03842603642690316
1971-08-01,0.0022311567433790378,-0.06405171548646119,-0.008415403501845485,0.03605726094194135
1971-09-01,0.004152926893769174,-0.050003162333197515,-0.02437277389709537,0.03742195072190847
1971-10-01,0.004241575565913459,-0.05129743275967775,-0.024011275540289864,0.038022256430393434
1971-11-01,0.004968731546249997,-0.08918577310671519,-0.0411814841031508,0.035475905955345055
1971-12-01,0.014450587652877812,-0.12574877114832306,-0.0720729561453043,0.031852369742854554
1972-01-01,0.002456637048327763,-0.11040835184302891,-0.05821251972516327,0.032142169507728365
1972-02-01,-0.00941054196448411,-0.09404432773035296,-0.053384020411498145,0.03377623076966746
1972-03-01,-0.037274460316556464,-0.074219067563818,-0.05120428931096685,0.03495193737644667
1972-04-01,-0.062426017620210994,-0.06389493639974109,-0.05789353382160893,0.03542382198535139
1972-05-01,-0.07584566580393591,-0.06023686575892501,-0.061669647360935456,0.036062072713424
1972-06-01,-0.05501352023233348,-0.06536319750616637,-0.04648266071723259,0.03543370002600919
1972-07-01,-0.050910601402062404,-0.0667064621734124,-0.04228806519382617,0.03433826255501244
1972-08-01,-0.032932748294465755,-0.0646672995358181,-0.022983540061231187,0.03131017898339669
1972-09-01,-0.03037797098011832,-0.06773856997050094,-0.02088700952203773,0.03287367426595461
1972-10-01,-0.02004870599259132,-0.07251423024505434,-0.02131132093964839,0.03465517302110345
1972-11-01,-0.018427378103232143,-0.07489979931878692,-0.022781923127519112,0.03625064592605021
1972-12-01,-0.041622101004861425,-0.07065664678575495,-0.016390702168571542,0.037803462917577614
1973-01-01,-0.05637882218097219,-0.06560150969041399,-0.019131881194647985,0.03962538044198307
1973-02-01,-0.06573643396130492,-0.06204646741496903,-0.0257295468935842,0.04108012412802804
1973-03-01,-0.06236111457902947,-0.061258007059201265,-0.021734982119918735,0.040116077515914596
1973-04-01,-0.06072219367650635,-0.061168242408127474,-0.02105274330121855,0.0414879959032015
1973-05-01,-0.05422047797936789,-0.06401551777465139,-0.021205470274211255,0.0434536809770582
1973-06-01,-0.05148968106258364,-0.06622798479619238,-0.023681573578892716,0.04470682920495912
1973-07-01,-0.0443204418728331,-0.0720629102739315,-0.037058066727802486,0.04442693504419805
