,Growth,Discount,Risk_Premium
L4_gdp_yoy,0.8507002049106983,0.4965693990409763,-0.056915508564643245
L4_indpro_yoy,0.856245804874358,0.41996100385544805,-0.10409198118331614
L1_manufacturing_yoy,0.900199527666481,0.4003583414234739,-0.09658527049971576
L1_information_yoy,0.7481918038496066,0.3432568673053284,0.03359451630609025
L3_retail_sales_yoy,0.7439995081574287,0.270534614724109,-0.024863561092372154
L1_retail_sales_yoy,0.7439995081574287,0.270534614724109,-0.024863561092372154
L1_nominal_aggregate_payrolls_yoy,0.9688125662425473,0.5665260418207649,-0.030308995848466042
L1_private_yoy,0.9729764125050389,0.5515428923308989,-0.01133415435600559
L1_private_payrolls_yoy,0.9729764125050389,0.5515428923308989,-0.01133415435600559
L4_mfg_production_yoy,0.7793593264864251,0.36311049951655566,-0.06293907082926477
L1_nonfinancial_profits_yoy,0.3533906051476535,0.09016258749992472,-0.29332665116017814
L1_corp_profits_aftertax_yoy,0.4150860067986964,0.145835902557856,-0.33562358899871625
L1_profit_margin_yoy,0.3056846300785191,0.08453249651168274,-0.3596567337718727
L1_total_hours_worked_yoy,0.9294581169476579,0.618779759270495,-0.03511757015505049
L1_total_nonfarm_yoy,0.9701133683237099,0.5591732628473876,-0.006125188102112022
L0_payroll_yoy,0.9701133683237099,0.5591732628473876,-0.006125188102112022
L1_total_payroll_yoy,0.9701133683237099,0.5591732628473876,-0.006125188102112022
L1_household_employment_yoy,0.9264594112383371,0.5639171852927576,-0.06833089464655154
L1_professional_business_yoy,0.9046896127836702,0.4461541452844033,0.16044829744657318
L4_capacity_util_total,0.7857999653736859,0.3554410162379851,-0.05421762117960885
L0_capacity_utilization,0.7857999653736859,0.3554410162379851,-0.05421762117960857
L1_gdi_yoy,0.7388681104281956,0.36909421399081443,-0.06017233571489238
L5_sp500_eps_yoy,0.327713094174205,0.12047098832482081,-0.13613003391109935
L1_construction_yoy,0.79694681005111,0.3336073114649108,0.011268476422982353
L0_it_investment_yoy,0.7986413086867413,0.4022085911484697,-0.09662240566146398
L3_federal_expenditures_yoy,-0.4289898513510061,-0.7188265195738947,0.09881638410806452
L1_trade_transport_utilities_yoy,0.9446699322225164,0.45005880245004165,0.07021763637495995
L1_other_services_yoy,0.7532527717439406,0.4558162155093859,0.20937406673485243
L1_real_aggregate_payrolls_yoy,0.7546953746582498,0.37550788895141024,0.03810340782530186
L1_education_health_yoy,0.5874461439503256,0.43648638465299894,0.07902175753052404
L3_state_local_expenditures_yoy,-0.41925293631943567,-0.21333695746270506,0.13784410378198333
L4_real_final_sales_yoy,0.8226369168014344,0.47131761634286784,0.005491228661933388
L4_output_gap,0.5914857788804527,0.35575809998706925,-0.19294950853179577
L0_treasury_10y,0.12975905757119638,0.08658288435853602,0.2709702042585623
L1_unemployment_benefits_yoy,-0.5394087113292318,-0.9952316330336665,0.0878607656927087
L1_current_transfers_yoy,-0.45953113446224086,-0.6827350840028397,0.05364198840924603
L0_hy_credit_spread,-0.09703193194229734,0.010794352762884443,-0.12300684675540186
L2_corp_bond_debt_yoy,-0.03463719315398126,-0.08330051658576532,0.9999999972459869
