series,r2_spx,beta_spx,p_value,corr_spx,n_obs,sig,r2_growth,r2_discount,r2_riskprem,r2_gap,assigned_bucket,assignment_method,passes_filter
L3_personal_saving_rate,0.0776,0.0061,0.0,0.279,223,***,0.4529,0.0022,0.2613,0.1916,Growth,r2_with_factor_anchor,True
L3_spending_sustainability_ratio,0.0735,-0.7054,0.0,-0.271,223,***,0.455,0.0019,0.2914,0.1636,Growth,r2_with_factor_anchor,True
L5_cape,0.0691,-0.0022,0.0001,-0.263,223,***,0.3264,0.0264,0.8128,0.4864,Risk_Premium,r2_with_factor_anchor,True
L2_consumer_credit_dpi_ratio,0.0601,-0.5571,0.0002,-0.245,223,***,0.7186,0.0021,0.3687,0.3499,Growth,r2_with_factor_anchor,True
L5_equity_risk_premium,0.0595,0.001,0.0002,0.244,223,***,0.2523,0.2871,0.6337,0.3466,Risk_Premium,r2_with_factor_anchor,True
L3_inventory_sales_ratio,0.0508,0.1728,0.0086,0.225,135,***,0.3657,0.0084,0.0816,0.284,Growth,r2_with_factor_anchor,True
L2_corp_debt_gdp_ratio,0.0483,-0.2669,0.001,-0.22,223,***,0.5472,0.0,0.4474,0.0998,UNUSED,failed_filter,False
L3_ip_inv_yoy,0.0482,-0.493,0.0678,-0.22,70,*,0.0182,0.0292,0.0005,0.011,UNUSED,failed_filter,False
L4_core_cpi_yoy,0.0476,0.6398,0.001,0.218,223,***,0.4659,0.0,0.4202,0.0458,UNUSED,failed_filter,False
L0_energy_cpi,0.0468,-0.0002,0.0011,-0.216,223,***,0.0014,0.0352,0.0002,0.0338,UNUSED,failed_filter,False
L2_corp_bond_debt_yoy,0.0445,0.4032,0.0015,0.211,223,***,0.1394,0.0183,0.1449,0.0054,UNUSED,failed_filter,False
L3_govt_spending_gdp_ratio,0.0444,0.9365,0.0015,0.211,223,***,0.065,0.0762,0.1353,0.0592,UNUSED,failed_filter,False
L4_core_pce_yoy,0.0443,0.7274,0.0016,0.21,223,***,0.1416,0.0003,0.5019,0.3603,UNUSED,failed_filter,False
L0_total_factor_productivity,0.0442,-0.0015,0.0016,-0.21,223,***,0.6044,0.0005,0.4751,0.1293,UNUSED,failed_filter,False
L0_unit_labor_cost,0.0441,-0.0006,0.0016,-0.21,223,***,0.7307,0.0007,0.3658,0.3649,UNUSED,failed_filter,False
L3_consumer_credit_pce_ratio,0.0413,-0.1758,0.0023,-0.203,223,***,0.6961,0.0001,0.2808,0.4153,UNUSED,failed_filter,False
L0_oil_price,0.0402,-0.0005,0.0113,-0.2,159,**,0.2444,0.08,0.1136,0.1307,UNUSED,failed_filter,False
L2_corp_bond_debt_gdp_ratio,0.0398,-0.2458,0.0028,-0.199,223,***,0.3965,0.0061,0.4725,0.076,UNUSED,failed_filter,False
L4_corp_gva_gdp_ratio,0.0392,-1057.2319,0.003,-0.198,223,***,0.4186,0.0921,0.0992,0.3194,UNUSED,failed_filter,False
L4_output_gap,0.0385,-0.0073,0.0032,-0.196,223,***,0.3742,0.0167,0.0349,0.3392,UNUSED,failed_filter,False
L0_labor_productivity,0.0383,-0.0007,0.0033,-0.196,223,***,0.566,0.0169,0.5089,0.0571,UNUSED,failed_filter,False
L3_structures_share,0.0377,-0.3357,0.0972,-0.194,74,*,0.6449,0.0077,0.242,0.4028,UNUSED,failed_filter,False
L2_debt_dpi_ratio,0.0339,-0.0867,0.0236,-0.184,151,**,0.7027,0.0,0.3977,0.305,UNUSED,failed_filter,False
L3_state_local_expenditures_yoy,0.0338,0.3926,0.0059,0.184,223,***,0.0759,0.0047,0.065,0.0109,UNUSED,failed_filter,False
L0_nuclear_share,0.0327,-0.6081,0.0085,-0.181,211,***,0.0113,0.0198,0.0397,0.02,UNUSED,failed_filter,False
L4_breakeven_10y,0.0323,-0.0318,0.0882,-0.18,91,*,0.1081,0.5258,0.0376,0.4177,UNUSED,failed_filter,False
L3_nonres_fixed_inv_yoy,0.0321,-0.2196,0.1381,-0.179,70,,0.1634,0.0067,0.3433,0.1799,UNUSED,failed_filter,False
L1_comp_per_hour_yoy,0.0313,0.5121,0.0081,0.177,223,***,0.1037,0.0004,0.0106,0.0931,UNUSED,failed_filter,False
L0_inventory_consumption_ratio,0.0309,0.0013,0.0357,0.176,143,**,0.0899,0.0206,0.0522,0.0377,UNUSED,failed_filter,False
L0_oil_volatility,0.0301,0.2476,0.0298,0.174,157,**,0.0031,0.0095,0.0494,0.04,UNUSED,failed_filter,False
