series,r2_spx,beta_spx,p_value,corr_spx,n_obs,sig,r2_growth,r2_discount,r2_riskprem,r2_gap,assigned_bucket,assignment_method,passes_filter
L4_indpro_yoy,0.1608,-0.548,0.0003,-0.401,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L1_manufacturing_yoy,0.1435,-0.6674,0.0006,-0.379,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L1_information_yoy,0.1242,-0.9513,0.0014,-0.352,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L0_oil_volatility,0.1178,0.463,0.251,0.343,13,,0.0,0.0,0.0,0.0,UNUSED,failed_filter,False
L1_unemployment_benefits_yoy,0.1136,0.0497,0.0024,0.337,79,***,0.0,0.0,0.0,0.0,Discount,tiebreaker,True
L3_retail_sales_yoy,0.113,-0.4961,0.0025,-0.336,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L1_retail_sales_yoy,0.113,-0.4961,0.0025,-0.336,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L1_nominal_aggregate_payrolls_yoy,0.1108,-0.9301,0.0027,-0.333,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L1_private_yoy,0.11,-1.002,0.0028,-0.332,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L1_private_payrolls_yoy,0.11,-1.002,0.0028,-0.332,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L4_mfg_production_yoy,0.106,-0.4301,0.0072,-0.326,67,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L1_nonfinancial_profits_yoy,0.1048,-0.1188,0.0036,-0.324,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L1_corp_profits_aftertax_yoy,0.1024,-0.1514,0.0041,-0.32,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L1_profit_margin_yoy,0.0998,-0.1764,0.0046,-0.316,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L1_total_hours_worked_yoy,0.0966,-0.8208,0.0053,-0.311,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L1_total_nonfarm_yoy,0.0925,-1.0916,0.0064,-0.304,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L0_payroll_yoy,0.0925,-1.0916,0.0064,-0.304,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L1_total_payroll_yoy,0.0925,-1.0916,0.0064,-0.304,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L1_household_employment_yoy,0.089,-1.3053,0.0076,-0.298,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L1_professional_business_yoy,0.0865,-1.3674,0.0085,-0.294,79,***,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L2_corp_bond_debt_yoy,0.0827,0.6769,0.0102,0.288,79,**,0.0,0.0,0.0,0.0,Risk_Premium,tiebreaker,True
L4_capacity_util_total,0.0779,-0.0052,0.0128,-0.279,79,**,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L0_capacity_utilization,0.0779,-0.519,0.0128,-0.279,79,**,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L1_gdi_yoy,0.0725,-0.7449,0.0164,-0.269,79,**,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
L5_sp500_eps_yoy,0.0653,-0.1435,0.023,-0.256,79,**,0.0,0.0,0.0,0.0,Growth,tiebreaker,True
